feature_name,feature_group,source_tables,availability_time,leakage_risk,sensitivity_class,control_decision,rationale,production_control
AMT_ANNUITY,base_application_numeric,application_train.csv,Known at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
AMT_CREDIT,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
AMT_GOODS_PRICE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
AMT_INCOME_TOTAL,base_application_numeric,application_train.csv,Known at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
CNT_CHILDREN,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
CNT_FAM_MEMBERS,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_BIRTH,base_application_numeric,application_train.csv,Known at loan application submission time.,low,protected_or_policy_sensitive,restricted_pending_policy_approval,Age can be a protected or policy-sensitive attribute.,"Use only where legally permitted and policy-approved; monitor score, review-rate, and reason-code differences by age band."
DAYS_EMPLOYED,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_ID_PUBLISH,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_LAST_PHONE_CHANGE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_REGISTRATION,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
