feature_name,feature_group,source_tables,source_columns,transformation_logic,join_key,aggregation_level,availability_time,leakage_risk,production_controls,owner,used_in_model
AMT_ANNUITY,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
AMT_CREDIT,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
AMT_GOODS_PRICE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
AMT_INCOME_TOTAL,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
CNT_CHILDREN,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
CNT_FAM_MEMBERS,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_BIRTH,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_EMPLOYED,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_ID_PUBLISH,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_LAST_PHONE_CHANGE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_REGISTRATION,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DEF_30_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DEF_60_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
